datetime,seconds_per_rpm,radial_speed,rpm,wind_speed_ms,wind_speed_kmh,knots
2023-11-29 00:11:39.685115,996.2169187068939,0.0012614090745086451,0.06022784684070714,0.0015767613431358068,0.005676340835288904,0.0030649717692411067
2023-11-29 00:14:11.910718,152.22343564033508,0.008255214160354574,0.3941574419707922,0.010319017700443219,0.03714846372159559,0.020058519366829546
2023-11-29 00:21:01.347847,409.43499422073364,0.003069197990337001,0.1465434094469535,0.003836497487921252,0.013811390956516506,0.007457537276920847
2023-11-29 00:25:02.306883,240.9568920135498,0.0052151945143999135,0.2490071958457449,0.006518993142999893,0.023468375314799617,0.012671879631088913
2023-11-29 00:25:17.110961,14.801935195922852,0.08489680874849757,4.053524029515196,0.10612101093562197,0.3820356393682391,0.20628226589709941
2023-11-29 00:34:02.837713,525.7246994972229,0.0023902948874909295,0.11412817403744019,0.0029878686093636627,0.010756326993709186,0.005807938517625462
2023-11-29 00:34:27.524167,24.684142112731934,0.05090867876618452,2.4307103615747034,0.06363584845773067,0.2290890544478304,0.12369790766607518
2023-11-29 00:34:53.238149,25.71180486679077,0.04887393428607506,2.3335584689931927,0.06109241785759384,0.21993270428733783,0.11875388552830521
2023-11-29 00:43:37.587467,524.3471283912659,0.0023965746990764853,0.11442801295409827,0.0029957183738456073,0.010784586145844186,0.005823197203816045
2023-11-29 00:46:19.969353,162.37974905967712,0.007738877961771472,0.3695042044802585,0.009673597452214341,0.03482495082797163,0.018803925671512324
2023-11-29 00:48:29.968525,129.9968855381012,0.00966667052240729,0.4615495190645503,0.012083338153009113,0.04350001735083281,0.023488076035345234
2023-11-29 00:49:30.248847,60.278080224990845,0.020847330517917272,0.9953867106591169,0.02605916314739659,0.09381298733062773,0.05065484369243539
2023-11-29 00:52:07.020721,156.7695496082306,0.008015823637793639,0.3827273864723148,0.01001977954724205,0.03607120637007138,0.019476848275110988
2023-11-29 00:52:18.809706,11.786694049835205,0.10661488761163584,5.090485911173616,0.1332686095145448,0.4797669942523613,0.25905285391875277
2023-11-29 01:04:24.573858,725.7619576454163,0.0017314727621062075,0.08267173467545409,0.00216434095263276,0.007791627429477936,0.004207132517365664
2023-11-29 01:04:49.755121,25.179006338119507,0.0499081276107963,2.3829375629158007,0.06238515951349539,0.2245865742485834,0.12126676846871287
2023-11-29 01:05:16.667008,26.90979313850403,0.04669813160465552,2.229671543411037,0.05837266450581942,0.2101415922209499,0.11346712017299201
2023-11-29 01:05:51.367851,34.698715925216675,0.0362156646990697,1.7291706162646805,0.04526958087383713,0.1629704911458137,0.08799682208579956
2023-11-29 01:06:02.924154,11.554200649261475,0.10876019030500733,5.192916569597145,0.1359502378812592,0.48942085637253313,0.2642655104031069
2023-11-29 01:06:16.132350,13.206053972244263,0.09515613551762289,4.543370799945586,0.11894516939702864,0.4282026098293031,0.23121037808072015
2023-11-29 01:06:23.736577,7.602020263671875,0.1653030402248553,7.892638787971241,0.2066288002810692,0.7438636810118491,0.40165332713835356
2023-11-29 01:06:31.024394,7.285603761672974,0.17248221321706345,8.235419048677766,0.21560276652132931,0.7761699594767856,0.4190972816748208
2023-11-29 01:06:37.122861,6.096368312835693,0.2061287961867578,9.8419250480113,0.2576609952334473,0.9275795828404104,0.5008517489745843
2023-11-29 01:06:45.389932,8.265191078186035,0.15203968662654463,7.2593603018271935,0.1900496082831808,0.6841785898194509,0.36942603056517814
2023-11-29 01:07:01.192738,15.801293134689331,0.07952748238542338,3.7971575799881303,0.09940935298177923,0.35787367073440524,0.19323587670010176
2023-11-29 01:07:13.238849,12.044035911560059,0.10433687433875691,4.981718789331327,0.13042109292344614,0.4695159345244061,0.25351773726831156
2023-11-29 01:07:33.701467,20.46049213409424,0.06141773390396247,2.9324807832954956,0.0767721673799531,0.2763798025678312,0.14923280983984805
2023-11-29 01:07:43.957631,10.254227876663208,0.12254818954197408,5.851245039770307,0.1531852369274676,0.5514668529388834,0.2977675909490886
2023-11-29 01:07:54.381596,10.422298431396484,0.12057197073251916,5.756887542123527,0.15071496341564897,0.5425738682963362,0.2929657744858751
2023-11-29 01:08:09.511198,15.127402782440186,0.08307024540224549,3.966312053887248,0.10383780675280686,0.3738161043101047,0.2018440822783761
2023-11-29 01:08:19.434763,9.921493291854858,0.12665805685395817,6.047476749216528,0.15832257106744774,0.5699612558428119,0.3077537465437476
2023-11-29 01:08:29.364299,9.927398443222046,0.12658271637056023,6.043879506112212,0.1582283954632003,0.5696222236675211,0.3075706842371873
2023-11-29 01:08:40.523064,11.156639814376831,0.11263580095295103,5.377963347233091,0.1407947511911888,0.5068611042882797,0.27368246915548045
2023-11-29 01:08:51.751643,11.226494789123535,0.11193494363471078,5.344499875253073,0.1399186795433885,0.5037072463561986,0.2719795260436203
2023-11-29 01:09:07.762910,16.009146451950073,0.07849494444988642,3.747857525076948,0.09811868056235803,0.35322725002448896,0.19072701602433403
2023-11-29 01:10:04.007838,56.24280500411987,0.022343072351101025,1.0668031225612753,0.027928840438876286,0.10054382557995463,0.05428919719870528
2023-11-29 01:10:52.433397,48.42343497276306,0.025951010335031853,1.2390694719147548,0.03243876291878982,0.11677954650764334,0.0630557649120604
2023-11-29 01:11:16.105271,23.66956639289856,0.05309083574141598,2.534900682337867,0.06636354467676998,0.23890876083637194,0.12900011268449257
2023-11-29 01:11:25.459939,9.352400541305542,0.13436518847603782,6.4154651776306775,0.16795648559504728,0.6046433481421702,0.3264805349590767
2023-11-29 01:11:30.217591,4.755496501922607,0.26424939245100265,12.616979105282173,0.33031174056375334,1.189122266029512,0.6420731737774463
